method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
delaunay,0.141,0.945,0.936,0.927,0.688,0.802,0.114,0.802,0.102,0.06,0.691,0.852,0.384,0.99,0.28,0.449,0.198,0.896,mds,har,51,jaccard
projnn,0.131,0.963,0.963,0.947,0.771,0.728,0.163,0.728,0.059,0.041,0.754,0.833,0.47,0.986,0.196,0.524,0.272,0.931,mds,har,51,jaccard
truenn,0.105,0.975,0.967,0.961,0.805,0.716,0.175,0.716,0.068,0.027,0.791,0.846,0.546,0.993,0.176,0.589,0.284,0.929,mds,har,51,jaccard
rescaled,0.267,0.977,0.981,0.95,0.511,0.6,0.26,0.6,0.026,0.04,0.603,0.975,0.377,0.976,0.415,0.453,0.4,0.97,tsne,fashionmnist,51,jaccard
magnetic,0.25,0.719,0.558,0.571,0.167,0.981,0.01,0.981,0.464,0.421,0.124,0.968,0.151,0.992,0.246,0.127,0.019,0.537,tsne,fashionmnist,51,jaccard
magnetic_on_rescale,0.268,0.918,0.835,0.866,0.427,0.881,0.07,0.881,0.189,0.127,0.348,0.976,0.365,0.987,0.392,0.424,0.119,0.81,tsne,fashionmnist,51,jaccard
delaunay,0.179,0.972,0.946,0.95,0.526,0.757,0.144,0.757,0.073,0.043,0.502,0.945,0.582,0.99,0.135,0.581,0.243,0.927,tsne,fashionmnist,51,jaccard
projnn,0.138,0.977,0.973,0.956,0.51,0.672,0.205,0.672,0.033,0.036,0.566,0.929,0.593,0.986,0.124,0.58,0.328,0.959,tsne,fashionmnist,51,jaccard
truenn,0.189,0.981,0.949,0.966,0.552,0.743,0.154,0.743,0.073,0.027,0.522,0.947,0.662,0.991,0.115,0.663,0.257,0.929,tsne,fashionmnist,51,jaccard
rescaled,0.425,0.854,0.871,0.777,0.514,0.899,0.101,0.899,0.293,0.223,0.734,0.976,-0.048,,0.745,-0.041,0.101,0.707,tsne,reuters,1,jaccard
magnetic,0.424,0.726,0.683,0.619,0.358,0.93,0.07,0.93,0.445,0.381,0.399,0.964,-0.038,0.0,0.503,-0.018,0.07,0.555,tsne,reuters,1,jaccard
magnetic_on_rescale,0.424,0.744,0.701,0.632,0.389,0.93,0.07,0.93,0.434,0.368,0.437,0.969,-0.05,0.0,0.582,-0.038,0.07,0.566,tsne,reuters,1,jaccard
delaunay,0.42,0.735,0.674,0.611,0.432,0.997,0.003,0.997,0.471,0.389,0.427,0.956,-0.046,0.0,0.512,-0.013,0.003,0.529,tsne,reuters,1,jaccard
projnn,0.313,0.865,0.793,0.789,0.564,0.982,0.018,0.982,0.371,0.211,0.63,0.814,0.144,0.0,0.186,0.127,0.018,0.629,tsne,reuters,1,jaccard
truenn,0.404,0.938,0.775,0.899,0.614,0.98,0.02,0.98,0.397,0.101,0.617,0.917,-0.014,0.0,0.269,-0.055,0.02,0.603,tsne,reuters,1,jaccard
rescaled,0.256,0.947,0.985,0.933,0.532,0.695,0.189,0.695,0.026,0.059,0.815,0.936,0.47,0.968,0.32,0.548,0.305,0.969,umap,usps,21,jaccard
magnetic,0.253,0.675,0.597,0.635,0.24,0.986,0.007,0.986,0.427,0.354,0.164,0.938,0.239,0.983,0.24,0.217,0.014,0.575,umap,usps,21,jaccard
magnetic_on_rescale,0.259,0.9,0.863,0.881,0.484,0.915,0.048,0.915,0.165,0.111,0.478,0.941,0.452,0.979,0.313,0.53,0.085,0.835,umap,usps,21,jaccard
delaunay,0.199,0.957,0.955,0.942,0.686,0.834,0.095,0.834,0.076,0.051,0.721,0.901,0.462,0.989,0.168,0.447,0.166,0.921,umap,usps,21,jaccard
projnn,0.145,0.96,0.981,0.946,0.696,0.736,0.16,0.736,0.031,0.047,0.797,0.859,0.499,0.984,0.14,0.463,0.264,0.962,umap,usps,21,jaccard
truenn,0.185,0.975,0.929,0.964,0.735,0.842,0.09,0.842,0.115,0.028,0.71,0.89,0.467,0.992,0.16,0.444,0.158,0.885,umap,usps,21,jaccard
rescaled,0.272,0.946,0.97,0.922,0.563,0.629,0.239,0.629,0.041,0.066,0.75,0.951,0.57,0.957,0.304,0.619,0.371,0.95,isomap,usps,51,jaccard
magnetic,0.257,0.625,0.548,0.56,0.165,0.985,0.008,0.985,0.474,0.433,0.121,0.94,0.11,0.991,0.246,0.097,0.015,0.528,isomap,usps,51,jaccard
magnetic_on_rescale,0.273,0.886,0.82,0.854,0.473,0.889,0.063,0.889,0.208,0.136,0.417,0.954,0.547,0.983,0.288,0.598,0.111,0.793,isomap,usps,51,jaccard
delaunay,0.247,0.945,0.913,0.921,0.661,0.813,0.108,0.813,0.123,0.07,0.625,0.92,0.531,0.988,0.184,0.509,0.187,0.875,isomap,usps,51,jaccard
projnn,0.14,0.952,0.958,0.93,0.662,0.69,0.192,0.69,0.051,0.059,0.704,0.852,0.533,0.98,0.131,0.5,0.31,0.936,isomap,usps,51,jaccard
truenn,0.214,0.97,0.896,0.949,0.696,0.78,0.13,0.78,0.146,0.037,0.65,0.894,0.465,0.988,0.16,0.426,0.22,0.855,isomap,usps,51,jaccard
rescaled,0.419,0.907,0.787,0.808,0.477,0.976,0.013,0.976,0.386,0.167,0.638,0.983,0.024,0.925,0.954,0.429,0.024,0.606,tsne,reuters,7,jaccard
magnetic,0.418,0.693,0.692,0.505,0.38,0.983,0.01,0.983,0.436,0.491,0.453,0.97,0.025,0.946,0.857,0.101,0.017,0.555,tsne,reuters,7,jaccard
magnetic_on_rescale,0.418,0.693,0.692,0.505,0.38,0.983,0.01,0.983,0.436,0.491,0.453,0.97,0.025,0.946,0.857,0.101,0.017,0.555,tsne,reuters,7,jaccard
delaunay,0.416,0.668,0.633,0.514,0.35,0.997,0.001,0.997,0.496,0.483,0.336,0.967,0.019,0.939,0.83,0.046,0.003,0.505,tsne,reuters,7,jaccard
projnn,0.338,0.688,0.66,0.544,0.382,0.996,0.002,0.996,0.482,0.445,0.389,0.843,0.031,0.867,0.23,0.023,0.004,0.518,tsne,reuters,7,jaccard
truenn,0.406,0.888,0.718,0.812,0.47,0.985,0.009,0.985,0.442,0.185,0.542,0.923,0.04,0.981,0.391,0.021,0.015,0.557,tsne,reuters,7,jaccard
rescaled,0.097,0.979,0.994,0.976,0.718,0.773,0.145,0.773,0.021,0.021,0.862,0.807,0.816,0.991,0.104,0.828,0.227,0.979,mds,har,7,jaccard
magnetic,0.079,0.963,0.97,0.96,0.713,0.929,0.041,0.929,0.063,0.038,0.712,0.823,0.813,0.99,0.103,0.824,0.071,0.937,mds,har,7,jaccard
magnetic_on_rescale,0.079,0.963,0.97,0.96,0.713,0.929,0.041,0.929,0.063,0.038,0.713,0.823,0.813,0.99,0.103,0.824,0.071,0.937,mds,har,7,jaccard
delaunay,0.113,0.972,0.975,0.968,0.738,0.877,0.072,0.877,0.057,0.029,0.789,0.817,0.741,0.987,0.092,0.753,0.123,0.942,mds,har,7,jaccard
projnn,0.118,0.974,0.99,0.97,0.743,0.812,0.116,0.812,0.027,0.027,0.843,0.813,0.744,0.988,0.09,0.755,0.188,0.972,mds,har,7,jaccard
truenn,0.08,0.987,0.98,0.985,0.778,0.859,0.085,0.859,0.059,0.015,0.821,0.831,0.855,0.997,0.071,0.863,0.141,0.941,mds,har,7,jaccard
rescaled,0.243,0.932,0.982,0.923,0.479,0.916,0.084,0.916,0.027,0.077,0.765,0.89,0.458,0.0,0.164,0.424,0.084,0.973,mds,mnist,1,jaccard
magnetic,0.258,0.928,0.948,0.919,0.476,0.982,0.018,0.982,0.073,0.081,0.641,0.9,0.46,0.0,0.163,0.428,0.018,0.927,mds,mnist,1,jaccard
magnetic_on_rescale,0.258,0.928,0.948,0.919,0.476,0.981,0.019,0.981,0.073,0.081,0.642,0.9,0.46,0.0,0.163,0.428,0.019,0.927,mds,mnist,1,jaccard
delaunay,0.216,0.93,0.976,0.922,0.463,0.938,0.062,0.938,0.038,0.078,0.754,0.889,0.405,0.0,0.154,0.369,0.062,0.962,mds,mnist,1,jaccard
projnn,0.223,0.932,0.979,0.923,0.477,0.929,0.071,0.929,0.033,0.077,0.753,0.892,0.425,0.0,0.152,0.392,0.071,0.967,mds,mnist,1,jaccard
truenn,0.282,0.966,0.821,0.962,0.491,0.982,0.018,0.982,0.208,0.038,0.444,0.92,0.45,0.0,0.174,0.428,0.018,0.792,mds,mnist,1,jaccard
rescaled,0.418,0.9,0.844,0.73,0.584,0.884,0.069,0.884,0.31,0.256,0.712,0.971,0.384,0.935,0.777,0.679,0.116,0.659,isomap,reuters,51,jaccard
magnetic,0.417,0.754,0.682,0.577,0.422,0.984,0.008,0.984,0.464,0.43,0.403,0.962,0.323,0.989,0.621,0.361,0.016,0.528,isomap,reuters,51,jaccard
magnetic_on_rescale,0.418,0.763,0.687,0.586,0.446,0.984,0.008,0.984,0.461,0.422,0.413,0.964,0.333,0.988,0.655,0.402,0.016,0.531,isomap,reuters,51,jaccard
delaunay,0.411,0.742,0.698,0.534,0.449,0.985,0.008,0.985,0.463,0.493,0.447,0.95,0.321,0.986,0.599,0.306,0.015,0.533,isomap,reuters,51,jaccard
projnn,0.281,0.86,0.812,0.649,0.588,0.954,0.024,0.954,0.367,0.339,0.651,0.824,0.281,0.955,0.177,0.254,0.046,0.613,isomap,reuters,51,jaccard
truenn,0.383,0.914,0.752,0.77,0.542,0.928,0.04,0.928,0.391,0.161,0.588,0.902,0.019,0.99,0.285,-0.039,0.072,0.602,isomap,reuters,51,jaccard
rescaled,0.274,0.95,0.983,0.933,0.56,0.706,0.181,0.706,0.029,0.058,0.808,0.954,0.334,0.963,0.398,0.425,0.294,0.967,isomap,usps,21,jaccard
magnetic,0.274,0.74,0.647,0.706,0.33,0.974,0.014,0.974,0.381,0.288,0.239,0.953,0.217,0.983,0.333,0.222,0.026,0.621,isomap,usps,21,jaccard
magnetic_on_rescale,0.275,0.879,0.8,0.856,0.488,0.933,0.038,0.933,0.232,0.136,0.421,0.955,0.314,0.979,0.38,0.4,0.067,0.769,isomap,usps,21,jaccard
delaunay,0.26,0.924,0.87,0.906,0.636,0.917,0.046,0.917,0.176,0.088,0.579,0.935,0.329,0.988,0.296,0.361,0.083,0.825,isomap,usps,21,jaccard
projnn,0.155,0.955,0.971,0.939,0.655,0.762,0.142,0.762,0.04,0.053,0.767,0.853,0.467,0.983,0.146,0.435,0.238,0.95,isomap,usps,21,jaccard
truenn,0.222,0.975,0.913,0.963,0.761,0.852,0.084,0.852,0.14,0.029,0.735,0.898,0.427,0.991,0.169,0.401,0.148,0.861,isomap,usps,21,jaccard
rescaled,0.228,0.928,0.952,0.897,0.327,0.72,0.169,0.72,0.06,0.085,0.686,0.841,0.196,0.967,0.411,0.227,0.28,0.929,mds,usps,51,jaccard
magnetic,0.207,0.798,0.678,0.755,0.246,0.952,0.026,0.952,0.349,0.235,0.265,0.836,0.19,0.98,0.313,0.167,0.048,0.647,mds,usps,51,jaccard
magnetic_on_rescale,0.208,0.875,0.82,0.838,0.351,0.905,0.053,0.905,0.218,0.148,0.429,0.854,0.191,0.977,0.4,0.203,0.095,0.781,mds,usps,51,jaccard
delaunay,0.219,0.918,0.902,0.887,0.456,0.807,0.111,0.807,0.123,0.096,0.581,0.851,0.25,0.977,0.3,0.269,0.193,0.874,mds,usps,51,jaccard
projnn,0.182,0.926,0.915,0.898,0.491,0.758,0.144,0.758,0.092,0.085,0.615,0.838,0.309,0.973,0.194,0.28,0.242,0.89,mds,usps,51,jaccard
truenn,0.193,0.942,0.865,0.913,0.571,0.795,0.12,0.795,0.158,0.066,0.591,0.883,0.27,0.987,0.244,0.278,0.205,0.832,mds,usps,51,jaccard
rescaled,0.378,0.883,0.796,0.729,0.495,0.89,0.066,0.89,0.333,0.246,0.647,0.886,0.027,0.942,0.424,-0.041,0.11,0.631,mds,reuters,51,jaccard
magnetic,0.382,0.864,0.722,0.709,0.494,0.951,0.027,0.951,0.414,0.27,0.518,0.891,0.037,0.967,0.404,-0.025,0.049,0.578,mds,reuters,51,jaccard
magnetic_on_rescale,0.382,0.864,0.722,0.709,0.494,0.951,0.027,0.951,0.414,0.27,0.518,0.891,0.037,0.967,0.405,-0.026,0.049,0.579,mds,reuters,51,jaccard
delaunay,0.343,0.88,0.748,0.73,0.378,0.922,0.044,0.922,0.392,0.263,0.571,0.863,0.207,0.983,0.247,0.191,0.078,0.604,mds,reuters,51,jaccard
projnn,0.253,0.877,0.775,0.717,0.42,0.899,0.059,0.899,0.35,0.257,0.619,0.795,0.218,0.968,0.185,0.19,0.101,0.622,mds,reuters,51,jaccard
truenn,0.363,0.9,0.735,0.751,0.567,0.935,0.036,0.935,0.405,0.18,0.555,0.889,0.0,0.99,0.335,-0.063,0.065,0.588,mds,reuters,51,jaccard
rescaled,0.15,0.983,0.993,0.981,0.835,0.905,0.095,0.905,0.016,0.019,0.869,0.835,0.588,0.0,0.129,0.555,0.095,0.984,umap,usps,1,jaccard
magnetic,0.16,0.977,0.984,0.974,0.821,0.975,0.025,0.975,0.037,0.026,0.813,0.848,0.586,0.0,0.128,0.556,0.025,0.963,umap,usps,1,jaccard
magnetic_on_rescale,0.16,0.977,0.984,0.974,0.821,0.975,0.025,0.975,0.037,0.026,0.814,0.848,0.586,0.0,0.128,0.556,0.025,0.963,umap,usps,1,jaccard
delaunay,0.146,0.979,0.986,0.976,0.789,0.932,0.068,0.932,0.026,0.024,0.833,0.825,0.518,0.0,0.132,0.479,0.068,0.974,umap,usps,1,jaccard
projnn,0.142,0.981,0.99,0.978,0.814,0.921,0.079,0.921,0.022,0.022,0.857,0.827,0.531,0.0,0.129,0.498,0.079,0.978,umap,usps,1,jaccard
truenn,0.15,0.984,0.957,0.983,0.823,0.971,0.029,0.971,0.094,0.017,0.808,0.85,0.523,0.0,0.142,0.501,0.029,0.906,umap,usps,1,jaccard
rescaled,0.064,0.985,0.996,0.981,0.803,0.742,0.167,0.742,0.016,0.017,0.874,0.83,0.685,0.989,0.113,0.688,0.258,0.983,tsne,har,7,jaccard
magnetic,0.062,0.977,0.984,0.973,0.784,0.901,0.059,0.901,0.044,0.025,0.786,0.845,0.678,0.99,0.115,0.682,0.099,0.957,tsne,har,7,jaccard
magnetic_on_rescale,0.062,0.977,0.984,0.973,0.784,0.901,0.059,0.901,0.044,0.025,0.786,0.845,0.678,0.99,0.115,0.682,0.099,0.957,tsne,har,7,jaccard
delaunay,0.126,0.979,0.986,0.975,0.782,0.797,0.125,0.797,0.028,0.023,0.842,0.813,0.645,0.985,0.111,0.654,0.203,0.971,tsne,har,7,jaccard
projnn,0.112,0.981,0.993,0.976,0.793,0.774,0.143,0.774,0.021,0.022,0.861,0.814,0.646,0.985,0.111,0.656,0.226,0.978,tsne,har,7,jaccard
truenn,0.073,0.988,0.984,0.986,0.821,0.847,0.094,0.847,0.048,0.014,0.83,0.837,0.7,0.995,0.104,0.705,0.153,0.952,tsne,har,7,jaccard
rescaled,0.263,0.953,0.984,0.936,0.728,0.709,0.179,0.709,0.028,0.055,0.823,0.956,0.171,0.963,0.53,0.154,0.291,0.968,mds,usps,21,jaccard
magnetic,0.26,0.714,0.631,0.679,0.303,0.974,0.014,0.974,0.395,0.313,0.218,0.952,0.172,0.983,0.356,0.148,0.026,0.603,mds,usps,21,jaccard
magnetic_on_rescale,0.266,0.838,0.76,0.814,0.476,0.932,0.039,0.932,0.277,0.178,0.398,0.957,0.165,0.979,0.491,0.135,0.068,0.722,mds,usps,21,jaccard
delaunay,0.246,0.938,0.898,0.92,0.683,0.897,0.058,0.897,0.147,0.073,0.634,0.929,0.338,0.986,0.297,0.381,0.103,0.853,mds,usps,21,jaccard
projnn,0.157,0.953,0.972,0.937,0.606,0.773,0.136,0.773,0.042,0.054,0.778,0.87,0.435,0.983,0.156,0.394,0.227,0.949,mds,usps,21,jaccard
truenn,0.193,0.974,0.913,0.962,0.729,0.861,0.079,0.861,0.133,0.03,0.698,0.895,0.445,0.993,0.16,0.413,0.139,0.867,mds,usps,21,jaccard
rescaled,0.258,0.978,0.984,0.956,0.521,0.593,0.265,0.593,0.023,0.035,0.609,0.969,0.482,0.979,0.321,0.549,0.407,0.973,isomap,fashionmnist,51,jaccard
magnetic,0.261,0.893,0.813,0.825,0.407,0.908,0.053,0.908,0.216,0.168,0.323,0.972,0.438,0.99,0.288,0.479,0.092,0.786,isomap,fashionmnist,51,jaccard
magnetic_on_rescale,0.26,0.939,0.888,0.898,0.463,0.852,0.088,0.852,0.137,0.096,0.397,0.971,0.468,0.988,0.309,0.529,0.148,0.864,isomap,fashionmnist,51,jaccard
delaunay,0.149,0.974,0.95,0.953,0.565,0.737,0.159,0.737,0.068,0.04,0.52,0.936,0.642,0.991,0.116,0.643,0.263,0.93,isomap,fashionmnist,51,jaccard
projnn,0.133,0.979,0.973,0.96,0.558,0.651,0.221,0.651,0.031,0.033,0.575,0.922,0.65,0.986,0.112,0.642,0.349,0.96,isomap,fashionmnist,51,jaccard
truenn,0.161,0.983,0.957,0.969,0.612,0.725,0.167,0.725,0.063,0.025,0.548,0.942,0.722,0.994,0.106,0.734,0.275,0.938,isomap,fashionmnist,51,jaccard
rescaled,0.253,0.981,0.985,0.963,0.527,0.698,0.187,0.698,0.024,0.032,0.63,0.971,0.424,0.981,0.392,0.497,0.302,0.975,tsne,fashionmnist,21,jaccard
magnetic,0.235,0.698,0.556,0.569,0.158,0.992,0.004,0.992,0.465,0.425,0.118,0.965,0.132,0.984,0.237,0.114,0.008,0.534,tsne,fashionmnist,21,jaccard
magnetic_on_rescale,0.256,0.924,0.846,0.887,0.44,0.922,0.045,0.922,0.175,0.109,0.363,0.973,0.41,0.987,0.374,0.474,0.078,0.824,tsne,fashionmnist,21,jaccard
delaunay,0.187,0.974,0.95,0.958,0.498,0.841,0.091,0.841,0.067,0.037,0.508,0.948,0.588,0.991,0.139,0.587,0.159,0.933,tsne,fashionmnist,21,jaccard
projnn,0.138,0.98,0.978,0.965,0.454,0.75,0.151,0.75,0.03,0.031,0.591,0.929,0.597,0.989,0.125,0.583,0.25,0.966,tsne,fashionmnist,21,jaccard
truenn,0.167,0.984,0.95,0.974,0.548,0.826,0.101,0.826,0.07,0.022,0.535,0.942,0.677,0.995,0.117,0.675,0.174,0.93,tsne,fashionmnist,21,jaccard
rescaled,0.057,0.979,0.993,0.971,0.777,0.654,0.229,0.654,0.021,0.023,0.849,0.849,0.736,0.993,0.1,0.757,0.346,0.977,isomap,har,21,jaccard
magnetic,0.058,0.972,0.98,0.963,0.763,0.819,0.108,0.819,0.05,0.033,0.766,0.861,0.722,0.994,0.104,0.743,0.181,0.95,isomap,har,21,jaccard
magnetic_on_rescale,0.058,0.972,0.98,0.963,0.763,0.819,0.108,0.819,0.05,0.033,0.767,0.861,0.722,0.994,0.104,0.743,0.181,0.95,isomap,har,21,jaccard
delaunay,0.119,0.971,0.984,0.96,0.727,0.709,0.183,0.709,0.032,0.033,0.819,0.825,0.659,0.989,0.107,0.675,0.291,0.965,isomap,har,21,jaccard
projnn,0.109,0.972,0.989,0.962,0.742,0.689,0.2,0.689,0.026,0.031,0.834,0.828,0.653,0.989,0.109,0.671,0.311,0.97,isomap,har,21,jaccard
truenn,0.061,0.982,0.978,0.976,0.79,0.764,0.147,0.764,0.055,0.019,0.796,0.848,0.737,0.995,0.093,0.758,0.236,0.944,isomap,har,21,jaccard
rescaled,0.054,0.982,0.994,0.978,0.753,0.765,0.149,0.765,0.019,0.02,0.864,0.846,0.77,0.992,0.091,0.789,0.235,0.981,isomap,har,7,jaccard
magnetic,0.056,0.973,0.979,0.968,0.745,0.911,0.053,0.911,0.053,0.03,0.768,0.858,0.756,0.991,0.095,0.776,0.089,0.948,isomap,har,7,jaccard
magnetic_on_rescale,0.056,0.973,0.98,0.968,0.745,0.91,0.053,0.91,0.053,0.03,0.77,0.858,0.756,0.991,0.095,0.776,0.09,0.948,isomap,har,7,jaccard
delaunay,0.111,0.976,0.983,0.97,0.718,0.815,0.114,0.815,0.033,0.026,0.83,0.823,0.687,0.986,0.099,0.703,0.185,0.966,isomap,har,7,jaccard
projnn,0.097,0.978,0.991,0.972,0.727,0.793,0.129,0.793,0.024,0.025,0.85,0.822,0.689,0.987,0.099,0.706,0.207,0.975,isomap,har,7,jaccard
truenn,0.058,0.987,0.982,0.985,0.792,0.859,0.086,0.859,0.052,0.015,0.815,0.848,0.785,0.996,0.079,0.806,0.141,0.948,isomap,har,7,jaccard
rescaled,0.051,0.944,0.96,0.936,0.508,0.721,0.279,0.721,0.123,0.064,0.803,0.686,0.548,0.0,0.607,0.721,0.279,0.877,mds,spambase,1,jaccard
magnetic,0.046,0.761,0.812,0.728,0.5,0.875,0.125,0.875,0.376,0.272,0.612,0.653,0.524,0.0,0.49,0.498,0.125,0.624,mds,spambase,1,jaccard
magnetic_on_rescale,0.047,0.776,0.813,0.744,0.491,0.871,0.129,0.871,0.36,0.256,0.608,0.665,0.531,0.0,0.529,0.537,0.129,0.64,mds,spambase,1,jaccard
delaunay,0.055,0.701,0.819,0.667,0.492,0.993,0.007,0.993,0.383,0.333,0.599,0.6,0.524,0.0,0.526,0.525,0.007,0.617,mds,spambase,1,jaccard
projnn,0.079,0.875,0.933,0.859,0.639,0.954,0.046,0.954,0.182,0.141,0.725,0.272,0.399,0.0,0.244,0.409,0.046,0.818,mds,spambase,1,jaccard
truenn,0.059,0.937,0.895,0.929,0.676,0.95,0.05,0.95,0.247,0.071,0.708,0.329,0.411,0.0,0.252,0.417,0.05,0.753,mds,spambase,1,jaccard
rescaled,0.275,0.962,0.987,0.95,0.672,0.748,0.161,0.748,0.034,0.042,0.826,0.74,0.731,0.995,0.162,0.733,0.252,0.957,tsne,har,21,jaccard
magnetic,0.229,0.936,0.95,0.924,0.687,0.912,0.05,0.912,0.113,0.071,0.687,0.762,0.733,0.996,0.157,0.733,0.088,0.886,tsne,har,21,jaccard
magnetic_on_rescale,0.229,0.936,0.95,0.924,0.687,0.912,0.05,0.912,0.113,0.071,0.687,0.762,0.733,0.996,0.157,0.733,0.088,0.886,tsne,har,21,jaccard
delaunay,0.161,0.957,0.965,0.946,0.754,0.855,0.084,0.855,0.078,0.047,0.739,0.79,0.745,0.996,0.131,0.755,0.145,0.92,tsne,har,21,jaccard
projnn,0.166,0.965,0.975,0.954,0.745,0.784,0.134,0.784,0.049,0.039,0.775,0.791,0.72,0.994,0.108,0.733,0.216,0.944,tsne,har,21,jaccard
truenn,0.116,0.977,0.977,0.969,0.79,0.794,0.127,0.794,0.063,0.024,0.792,0.814,0.788,0.998,0.112,0.802,0.206,0.936,tsne,har,21,jaccard
rescaled,0.216,0.929,0.964,0.91,0.435,0.777,0.133,0.777,0.044,0.078,0.741,0.91,0.532,0.958,0.525,0.586,0.223,0.941,tsne,usps,21,jaccard
magnetic,0.208,0.707,0.673,0.669,0.268,0.964,0.02,0.964,0.35,0.325,0.27,0.902,0.494,0.981,0.411,0.434,0.036,0.65,tsne,usps,21,jaccard
magnetic_on_rescale,0.217,0.842,0.753,0.816,0.389,0.937,0.036,0.937,0.269,0.175,0.353,0.915,0.528,0.974,0.503,0.561,0.063,0.73,tsne,usps,21,jaccard
delaunay,0.213,0.911,0.844,0.891,0.52,0.918,0.046,0.918,0.189,0.101,0.518,0.9,0.559,0.98,0.371,0.559,0.082,0.811,tsne,usps,21,jaccard
projnn,0.144,0.948,0.96,0.932,0.624,0.805,0.114,0.805,0.054,0.06,0.728,0.855,0.625,0.98,0.147,0.594,0.195,0.932,tsne,usps,21,jaccard
truenn,0.162,0.971,0.904,0.959,0.703,0.862,0.078,0.862,0.141,0.032,0.672,0.888,0.593,0.991,0.169,0.55,0.138,0.859,tsne,usps,21,jaccard
rescaled,0.217,0.971,0.98,0.946,0.459,0.622,0.243,0.622,0.028,0.043,0.59,0.946,0.414,0.997,0.353,0.481,0.378,0.966,mds,fashionmnist,51,jaccard
magnetic,0.223,0.947,0.905,0.906,0.438,0.833,0.098,0.833,0.119,0.087,0.439,0.95,0.411,0.998,0.343,0.473,0.167,0.883,mds,fashionmnist,51,jaccard
magnetic_on_rescale,0.223,0.947,0.905,0.906,0.437,0.832,0.099,0.832,0.118,0.087,0.44,0.95,0.411,0.998,0.343,0.473,0.168,0.883,mds,fashionmnist,51,jaccard
delaunay,0.181,0.97,0.936,0.944,0.48,0.752,0.147,0.752,0.076,0.047,0.483,0.94,0.508,0.996,0.182,0.541,0.248,0.921,mds,fashionmnist,51,jaccard
projnn,0.159,0.972,0.956,0.95,0.492,0.704,0.181,0.704,0.045,0.041,0.522,0.926,0.559,0.995,0.148,0.573,0.296,0.943,mds,fashionmnist,51,jaccard
truenn,0.191,0.981,0.946,0.966,0.539,0.725,0.165,0.725,0.07,0.026,0.501,0.942,0.541,0.997,0.182,0.583,0.275,0.931,mds,fashionmnist,51,jaccard
rescaled,0.36,0.792,0.862,0.752,0.695,0.917,0.065,0.917,0.305,0.232,0.57,0.93,0.119,,0.462,0.16,0.083,0.701,tsne,spambase,7,jaccard
magnetic,0.314,0.791,0.854,0.752,0.694,0.954,0.033,0.954,0.33,0.233,0.557,0.763,0.122,0.886,0.46,0.147,0.046,0.68,tsne,spambase,7,jaccard
magnetic_on_rescale,0.314,0.791,0.854,0.752,0.694,0.954,0.033,0.954,0.33,0.233,0.557,0.763,0.122,0.886,0.46,0.147,0.046,0.68,tsne,spambase,7,jaccard
delaunay,0.31,0.778,0.805,0.737,0.66,0.979,0.012,0.979,0.425,0.249,0.588,0.746,0.117,1.97,0.447,0.122,0.021,0.576,tsne,spambase,7,jaccard
projnn,0.244,0.78,0.812,0.739,0.657,0.959,0.027,0.959,0.408,0.248,0.597,0.421,0.113,3.028,0.353,0.145,0.041,0.589,tsne,spambase,7,jaccard
truenn,0.096,0.877,0.847,0.853,0.687,0.935,0.041,0.935,0.355,0.133,0.645,0.353,0.21,2.837,0.34,0.218,0.065,0.638,tsne,spambase,7,jaccard
rescaled,0.333,0.948,0.916,0.887,0.655,0.862,0.138,0.862,0.233,0.113,0.803,0.821,0.145,,0.232,0.125,0.138,0.767,umap,reuters,1,jaccard
magnetic,0.342,0.943,0.871,0.885,0.653,0.917,0.083,0.917,0.309,0.115,0.746,0.834,0.147,0.0,0.23,0.128,0.083,0.691,umap,reuters,1,jaccard
magnetic_on_rescale,0.342,0.943,0.871,0.885,0.653,0.917,0.083,0.917,0.309,0.115,0.745,0.834,0.147,0.0,0.23,0.128,0.083,0.691,umap,reuters,1,jaccard
delaunay,0.251,0.931,0.895,0.858,0.587,0.933,0.067,0.933,0.269,0.142,0.773,0.784,0.175,0.0,0.181,0.154,0.067,0.731,umap,reuters,1,jaccard
projnn,0.263,0.934,0.907,0.861,0.588,0.901,0.099,0.901,0.25,0.139,0.787,0.782,0.169,0.0,0.182,0.148,0.099,0.75,umap,reuters,1,jaccard
truenn,0.361,0.952,0.797,0.921,0.602,0.936,0.064,0.936,0.346,0.079,0.65,0.874,-0.057,0.0,0.325,-0.101,0.064,0.654,umap,reuters,1,jaccard
rescaled,0.056,0.985,0.994,0.983,0.734,0.915,0.085,0.915,0.018,0.017,0.865,0.84,0.751,0.0,0.095,0.765,0.085,0.982,isomap,har,1,jaccard
magnetic,0.056,0.975,0.98,0.973,0.725,0.979,0.021,0.979,0.052,0.026,0.776,0.852,0.745,0.0,0.097,0.758,0.021,0.948,isomap,har,1,jaccard
magnetic_on_rescale,0.056,0.975,0.98,0.974,0.725,0.979,0.021,0.979,0.052,0.026,0.777,0.851,0.745,0.0,0.097,0.758,0.021,0.948,isomap,har,1,jaccard
